experiment,beta1,beta2,ema_window,omega1_mean,omega1_std,omega2_mean,omega2_std
resnet18_cifar100,0.999,0.968,100,0.8571686618282285,0.0009544858196119658,0.028101761772805784,1.6801531060038373e-05
resnet18_cifar100,0.999,0.99,100,0.20982141087440245,8.256186678460228e-05,0.0027233748504841963,9.918363431551188e-07
resnet18_cifar100,0.999,0.9968,100,0.005826106353822267,5.155670315791634e-05,0.0002468788248770031,6.750108675539212e-07
resnet18_cifar100,0.999,0.999,100,0.0029400251924261694,9.900305371950918e-06,0.00025053317556891585,7.992060788456865e-07
resnet18_cifar100,0.9,0.9,200,0.12632898124334582,0.00022006310546544987,0.14698633074740425,0.0002056905240327606
resnet18_cifar100,0.9,0.968,200,0.09150257055342463,0.0017897250797232732,0.03825806193390749,0.0004233354859729501
resnet18_cifar100,0.9,0.99,200,0.10319841795719457,0.0007121227275683394,0.02952787122403072,0.00024903559433799466
resnet18_cifar100,0.9,0.9968,200,0.14431925770847762,0.002838524245624182,0.030640272935304278,0.0006584728326620415
resnet18_cifar100,0.9,0.999,200,0.15116006993495582,0.004753164159417295,0.028161191987667828,0.002003626273797833
resnet18_cifar100,0.968,0.9,200,0.029970688682293384,0.0001019800747633124,0.03035005140085355,0.00016597170080988013
resnet18_cifar100,0.968,0.968,200,0.026399212672683223,0.00029825344770799677,0.01681750181633265,5.484070995492204e-05
resnet18_cifar100,0.968,0.99,200,0.04334168761933366,0.00030199023178204833,0.01374992881456695,2.241422152717021e-05
resnet18_cifar100,0.968,0.9968,200,0.048682962716997284,0.00023175865605922942,0.009625691947468052,8.886835593669436e-05
resnet18_cifar100,0.968,0.999,200,0.05660644605025412,0.000812388579895879,0.009508805791566868,8.795714793737523e-05
resnet18_cifar100,0.99,0.9,200,0.6237807686630142,0.0002549904432943145,0.10213729892231466,4.716702741380068e-05
resnet18_cifar100,0.99,0.968,200,0.012591108079535314,0.00017786972483306552,0.002723020096123239,7.165469475009353e-06
resnet18_cifar100,0.99,0.99,200,0.008747216169402083,0.00011587218251467224,0.0022680148440687212,3.277504429840225e-05
resnet18_cifar100,0.99,0.9968,200,0.013739342626358913,0.00024313846438511785,0.002309848666380026,2.4763312428408682e-05
resnet18_cifar100,0.99,0.999,200,0.015380723294393725,0.000524888503608691,0.002256638776856342,3.3118657942181996e-05
resnet18_cifar100,0.9968,0.9,200,1.6458843395053797,0.0006933581071569574,0.09700338822575573,3.333883042130839e-05
resnet18_cifar100,0.9968,0.968,200,0.37339676901612767,0.0003379990316102887,0.01729876205340422,1.897506199673376e-05
resnet18_cifar100,0.9968,0.99,200,0.007255653897607753,5.0662132715570525e-05,0.0003012906362934499,2.3612723246261595e-06
resnet18_cifar100,0.9968,0.9968,200,0.0037580062910541993,7.78699123951629e-05,0.00044506585918996784,1.3558856604674445e-06
resnet18_cifar100,0.9968,0.999,200,0.004587624221234418,0.000103406049087276,0.0005400427855196012,7.261820421601332e-06
resnet18_cifar100,0.999,0.9,200,0.8605881957938375,0.0023385590741107462,0.035802682769931794,2.689217084614306e-05
resnet18_cifar100,0.999,0.968,200,0.5543253227696658,0.000610470302950546,0.015475430469439564,1.1331101411238867e-05
