experiment,source_file,metric,ema_window,n_beta1,n_beta2,n_seeds,diag_mean,diag_std,offdiag_mean,offdiag_std,diag_over_off,n_success,n_trials,rate,p0,p_value
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega2_updates_norm,1,3,3,3,2.920487674054785,3.6772547068699635,215854.80326812423,648275.9113825473,1.3529871144109305e-05,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega1_updates_norm,10,3,3,3,0.5663639064703814,0.5888649938626694,2126590.9512363393,8401309.832171347,2.663247984484809e-07,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega2_updates_norm,10,3,3,3,0.39385164613495,0.4908516042538657,53072.355481470455,171184.21436924275,7.42103195838855e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega1_updates_norm,100,3,3,3,0.14357090338388914,0.06562721879266765,1959654.2950517002,7830605.242983025,7.326338311120402e-08,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega2_updates_norm,100,3,3,3,0.04099832676373822,0.04998954368232019,20137.82837869131,76049.18226499573,2.0358861935242376e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega1_updates_norm,200,3,3,3,0.10973798257963814,0.02872238232221353,1789840.2042221616,7168454.245745207,6.131160889154832e-08,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega2_updates_norm,200,3,3,3,0.02055880153029422,0.02493792469629735,13931.32963696122,53635.482312942404,1.475724289499952e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega1_updates_norm,500,3,3,3,0.08818539870111568,0.006695954784654131,1464938.4119487908,5874030.081816461,6.019734207378974e-08,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega2_updates_norm,500,3,3,3,0.008243851306339641,0.009946291719239867,7510.606270209774,29295.56236395919,1.0976279423724055e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega1_updates_norm,1,3,3,1,9.088150585493791,10.757650828660967,15.62009117355027,16.255590860180916,0.5818244262801033,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega2_updates_norm,1,3,3,1,11.386477215105584,13.719226901975539,20.56465603731287,21.419767650842708,0.5536915956408783,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega1_updates_norm,10,3,3,1,2.804368431489334,2.933090007451403,4.47402385717502,4.190295488460391,0.6268112377165693,2,3,0.6666666666666666,0.3333333333333333,0.25925925925925924
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega2_updates_norm,10,3,3,1,1.7314837891325021,2.083197341793054,3.0091592563496157,3.162892542150156,0.5754045039254418,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega1_updates_norm,100,3,3,1,0.4511260890451392,0.37072751667418397,0.8731324754902046,0.6986149423625032,0.5166754206363273,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega2_updates_norm,100,3,3,1,0.18130695960707544,0.21511341726043112,0.3118356064671294,0.3249637031043062,0.581418400743749,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega1_updates_norm,200,3,3,1,0.2509223781430165,0.1838239837924194,0.502701898852116,0.379716236790399,0.4991474643640294,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega2_updates_norm,200,3,3,1,0.0907601945643567,0.10760688097729276,0.15608622634433963,0.16256020165626522,0.5814747187502113,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega1_updates_norm,500,3,3,1,0.12041687841550269,0.07083486933755483,0.23861539821563557,0.15846315448927922,0.5046483978652649,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_SlimPajama,NanoGPT_SlimPajama.pkl,omega2_updates_norm,500,3,3,1,0.03632253403950776,0.04304878322185167,0.062463785255463894,0.065028186937683,0.5814974851580984,3,3,1.0,0.3333333333333333,0.03703703703703703
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega1_updates_norm,1,3,3,3,9.924686745870227,11.71750511093228,13.11415233110927,12.998914212893707,0.756792089590646,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega2_updates_norm,1,3,3,3,11.627875008078009,14.063350684583215,15.59629328451915,15.014794742511272,0.7455537540846205,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega1_updates_norm,10,3,3,3,3.579315599071417,3.699693325754366,4.642353416212233,4.07350053621158,0.7710131646960725,4,9,0.4444444444444444,0.3333333333333333,0.3496926281562771
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega2_updates_norm,10,3,3,3,1.846615857111883,2.2451770712047607,2.44989873808702,2.489716786449267,0.7537519116213739,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega1_updates_norm,100,3,3,3,0.6750798381629357,0.4572862447443633,1.1974040406877824,0.6189860580489207,0.563786170101091,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega2_updates_norm,100,3,3,3,0.19693903241511782,0.23493255466459653,0.25967788567829975,0.2608049825429048,0.758397396454061,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega1_updates_norm,200,3,3,3,0.4202196549770204,0.2204132483618737,0.7974610876323304,0.3333710614860237,0.5269469087509419,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega2_updates_norm,200,3,3,3,0.09865915344775117,0.11751292472942457,0.13029711197600208,0.1303938705316241,0.7571860339154874,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega1_updates_norm,500,3,3,3,0.25560906712549875,0.07814250692895108,0.47574709642920343,0.15339285178196968,0.5372793003762163,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
NanoGPT_WikiText,NanoGPT_WikiText.pkl,omega2_updates_norm,500,3,3,3,0.03951113624800155,0.04699593216797363,0.052270967673316654,0.05209511109038838,0.7558906598963012,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega1_updates_norm,1,4,4,3,0.9673410480480585,1.0330101983230942,2.32634798276348,2.4508176976575573,0.41581958297526467,6,12,0.5,0.25,0.05440223217010498
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega2_updates_norm,1,4,4,3,1.236074674373094,1.3525851933405997,1.702253651175646,1.5857519713089683,0.7261401222546418,9,12,0.75,0.25,0.0003916621208190918
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega1_updates_norm,10,4,4,3,0.2718658826851991,0.22326520520419443,1.370589875336629,1.9174585671550053,0.19835684443417215,9,12,0.75,0.25,0.0003916621208190918
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega2_updates_norm,10,4,4,3,0.18142291573514704,0.20441557922719272,0.3394294942842838,0.3439274205612608,0.5344936689066836,6,12,0.5,0.25,0.05440223217010498
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega1_updates_norm,100,4,4,3,0.08167189744974555,0.031227128443534553,0.42887991521873764,0.5074341364677529,0.19043068829206233,9,12,0.75,0.25,0.0003916621208190918
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega2_updates_norm,100,4,4,3,0.018874462661366918,0.02073205754851453,0.044938733647344464,0.048723110681795884,0.4200043287708944,3,12,0.25,0.25,0.6093249917030334
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega1_updates_norm,200,4,4,3,0.06278776026300233,0.016199766179250584,0.26514648214287745,0.29413880240917795,0.23680404791932472,9,12,0.75,0.25,0.0003916621208190918
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega2_updates_norm,200,4,4,3,0.009527262399845074,0.010363221008101987,0.022930025976539793,0.024504275644892406,0.41549287425982956,4,12,0.3333333333333333,0.25,0.35122138261795044
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega1_updates_norm,500,4,4,3,0.0496115344783827,0.006021316583355974,0.13538764839431117,0.12330614639398726,0.3664406248780618,9,12,0.75,0.25,0.0003916621208190918
ResNet18_CIFAR-100,ResNet18_CIFAR-100.pkl,omega2_updates_norm,500,4,4,3,0.003851251851726117,0.0041385075917996506,0.009280472858818403,0.009808864392320905,0.414984442098402,6,12,0.5,0.25,0.05440223217010498
T5_SQuAD,T5_SQuAD.pkl,omega1_updates_norm,1,3,3,3,15.109829580959879,20.56398657314958,9.83886198902871,6.9931573237733895,1.5357293961241465,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega2_updates_norm,1,3,3,3,19.953754302454932,27.321037892770814,8.990779685178405,10.437748768341393,2.2193574974759254,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
